spieltag,home,away,result
30,FC St Pauli,1. FC Köln,-:-
30,SC Freiburg,1. FC Heidenheim,-:-
30,SV Werder Bremen,Hamburger SV,-:-
30,TSG Hoffenheim,Borussia Dortmund,-:-
31,1. FC Heidenheim,FC St Pauli,-:-
31,1. FC Köln,Bayer 04 Leverkusen,-:-
31,1.FC Augsburg,Eintracht Frankfurt,-:-
31,Borussia Dortmund,SC Freiburg,-:-
31,FSV Mainz 05,FC Bayern München,-:-
31,Hamburger SV,TSG Hoffenheim,-:-
31,RB Leipzig,1. FC Union Berlin,-:-
31,VfB Stuttgart,SV Werder Bremen,-:-
31,VfL Wolfsburg,Borussia Mönchengladbach,-:-
32,1. FC Union Berlin,1. FC Köln,-:-
32,Bayer 04 Leverkusen,RB Leipzig,-:-
32,Borussia Mönchengladbach,Borussia Dortmund,-:-
32,Eintracht Frankfurt,Hamburger SV,-:-
32,FC Bayern München,1. FC Heidenheim,-:-
32,FC St Pauli,FSV Mainz 05,-:-
32,SC Freiburg,VfL Wolfsburg,-:-
32,SV Werder Bremen,1.FC Augsburg,-:-
32,TSG Hoffenheim,VfB Stuttgart,-:-
33,1. FC Köln,1. FC Heidenheim,-:-
33,1.FC Augsburg,Borussia Mönchengladbach,-:-
33,Borussia Dortmund,Eintracht Frankfurt,-:-
33,FSV Mainz 05,1. FC Union Berlin,-:-
33,Hamburger SV,SC Freiburg,-:-
33,RB Leipzig,FC St Pauli,-:-
33,TSG Hoffenheim,SV Werder Bremen,-:-
33,VfB Stuttgart,Bayer 04 Leverkusen,-:-
33,VfL Wolfsburg,FC Bayern München,-:-
34,1. FC Heidenheim,FSV Mainz 05,-:-
34,1. FC Union Berlin,1.FC Augsburg,-:-
34,Bayer 04 Leverkusen,Hamburger SV,-:-
34,Borussia Mönchengladbach,TSG Hoffenheim,-:-
34,Eintracht Frankfurt,VfB Stuttgart,-:-
34,FC Bayern München,1. FC Köln,-:-
34,FC St Pauli,VfL Wolfsburg,-:-
34,SC Freiburg,RB Leipzig,-:-
34,SV Werder Bremen,Borussia Dortmund,-:-
