id,spieltag,saison,heim,gast,tore_heim,tore_gast
14557,26,2010/11,FSV Mainz 05,Bayer 04 Leverkusen,0,1
14558,26,2010/11,FC St Pauli,VfB Stuttgart,1,2
14559,27,2010/11,Borussia Mönchengladbach,1.FC Kaiserslautern,0,1
14560,27,2010/11,1. FC Nürnberg,SV Werder Bremen,1,3
14561,27,2010/11,Hannover 96,TSG Hoffenheim,2,0
14562,27,2010/11,SC Freiburg,FC Bayern München,1,2
14563,27,2010/11,Eintracht Frankfurt,FC St Pauli,2,1
14564,27,2010/11,Hamburger SV,1. FC Köln,6,2
14565,27,2010/11,Borussia Dortmund,FSV Mainz 05,1,1
14566,27,2010/11,Bayer 04 Leverkusen,FC Schalke 04,2,0
14567,27,2010/11,VfB Stuttgart,VfL Wolfsburg,1,1
14568,28,2010/11,FC St Pauli,FC Schalke 04,0,2
14569,28,2010/11,1.FC Kaiserslautern,Bayer 04 Leverkusen,0,1
14570,28,2010/11,FSV Mainz 05,SC Freiburg,1,1
14571,28,2010/11,Borussia Dortmund,Hannover 96,4,1
14572,28,2010/11,SV Werder Bremen,VfB Stuttgart,1,1
14573,28,2010/11,FC Bayern München,Borussia Mönchengladbach,1,0
14574,28,2010/11,TSG Hoffenheim,Hamburger SV,0,0
14575,28,2010/11,1. FC Köln,1. FC Nürnberg,1,0
14576,28,2010/11,VfL Wolfsburg,Eintracht Frankfurt,1,1
14577,29,2010/11,Eintracht Frankfurt,SV Werder Bremen,1,1
14578,29,2010/11,1. FC Nürnberg,FC Bayern München,1,1
14579,29,2010/11,Hannover 96,FSV Mainz 05,2,0
14580,29,2010/11,SC Freiburg,TSG Hoffenheim,3,2
14581,29,2010/11,Hamburger SV,Borussia Dortmund,1,1
14582,29,2010/11,FC Schalke 04,VfL Wolfsburg,1,0
14583,29,2010/11,VfB Stuttgart,1.FC Kaiserslautern,2,4
14584,29,2010/11,Borussia Mönchengladbach,1. FC Köln,5,1
14585,29,2010/11,Bayer 04 Leverkusen,FC St Pauli,2,1
14586,30,2010/11,FSV Mainz 05,Borussia Mönchengladbach,1,0
14587,30,2010/11,1.FC Kaiserslautern,1. FC Nürnberg,0,2
14588,30,2010/11,1. FC Köln,VfB Stuttgart,1,3
14589,30,2010/11,TSG Hoffenheim,Eintracht Frankfurt,1,0
14590,30,2010/11,VfL Wolfsburg,FC St Pauli,2,2
14591,30,2010/11,Hamburger SV,Hannover 96,0,0
14592,30,2010/11,SV Werder Bremen,FC Schalke 04,1,1
14593,30,2010/11,FC Bayern München,Bayer 04 Leverkusen,5,1
14594,30,2010/11,Borussia Dortmund,SC Freiburg,3,0
14595,31,2010/11,SC Freiburg,Hannover 96,1,3
14596,31,2010/11,FC St Pauli,SV Werder Bremen,1,3
14597,31,2010/11,Eintracht Frankfurt,FC Bayern München,1,1
14598,31,2010/11,FC Schalke 04,1.FC Kaiserslautern,0,1
14599,31,2010/11,Bayer 04 Leverkusen,TSG Hoffenheim,2,1
14600,31,2010/11,VfB Stuttgart,Hamburger SV,3,0
14601,31,2010/11,Borussia Mönchengladbach,Borussia Dortmund,1,0
14602,31,2010/11,VfL Wolfsburg,1. FC Köln,4,1
14603,31,2010/11,1. FC Nürnberg,FSV Mainz 05,0,0
14604,32,2010/11,1.FC Kaiserslautern,FC St Pauli,2,0
14605,32,2010/11,SV Werder Bremen,VfL Wolfsburg,0,1
14606,32,2010/11,Hannover 96,Borussia Mönchengladbach,0,1
14607,32,2010/11,1. FC Köln,Bayer 04 Leverkusen,2,0
14608,32,2010/11,TSG Hoffenheim,VfB Stuttgart,1,2
14609,32,2010/11,FSV Mainz 05,Eintracht Frankfurt,3,0
14610,32,2010/11,Borussia Dortmund,1. FC Nürnberg,2,0
14611,32,2010/11,Hamburger SV,SC Freiburg,0,2
14612,32,2010/11,FC Bayern München,FC Schalke 04,4,1
14613,33,2010/11,1. FC Nürnberg,TSG Hoffenheim,1,2
14614,33,2010/11,Borussia Mönchengladbach,SC Freiburg,2,0
14615,33,2010/11,Eintracht Frankfurt,1. FC Köln,0,2
14616,33,2010/11,SV Werder Bremen,Borussia Dortmund,2,0
14617,33,2010/11,FC Schalke 04,FSV Mainz 05,1,3
14618,33,2010/11,Bayer 04 Leverkusen,Hamburger SV,1,1
14619,33,2010/11,VfB Stuttgart,Hannover 96,2,1
14620,33,2010/11,VfL Wolfsburg,1.FC Kaiserslautern,1,2
14621,33,2010/11,FC St Pauli,FC Bayern München,1,8
14622,34,2010/11,1.FC Kaiserslautern,SV Werder Bremen,3,2
14623,34,2010/11,SC Freiburg,Bayer 04 Leverkusen,0,1
14624,34,2010/11,FC Bayern München,VfB Stuttgart,2,1
14625,34,2010/11,TSG Hoffenheim,VfL Wolfsburg,1,3
14626,34,2010/11,Hannover 96,1. FC Nürnberg,3,1
14627,34,2010/11,Borussia Dortmund,Eintracht Frankfurt,3,1
14628,34,2010/11,Hamburger SV,Borussia Mönchengladbach,1,1
14629,34,2010/11,FSV Mainz 05,FC St Pauli,2,1
14630,34,2010/11,1. FC Köln,FC Schalke 04,2,1
14631,1,2011/12,Borussia Dortmund,Hamburger SV,3,1
14632,1,2011/12,SV Werder Bremen,1.FC Kaiserslautern,2,0
14633,1,2011/12,Hannover 96,TSG Hoffenheim,2,1
14634,1,2011/12,VfB Stuttgart,FC Schalke 04,3,0
14635,1,2011/12,1. FC Köln,VfL Wolfsburg,0,3
14636,1,2011/12,1.FC Augsburg,SC Freiburg,2,2
14637,1,2011/12,Hertha BSC,1. FC Nürnberg,0,1
14638,1,2011/12,FSV Mainz 05,Bayer 04 Leverkusen,2,0
14639,1,2011/12,FC Bayern München,Borussia Mönchengladbach,0,1
14640,2,2011/12,FC Schalke 04,1. FC Köln,5,1
14641,2,2011/12,Hamburger SV,Hertha BSC,2,2
14642,2,2011/12,1. FC Nürnberg,Hannover 96,1,2
14643,2,2011/12,SC Freiburg,FSV Mainz 05,1,2
14644,2,2011/12,TSG Hoffenheim,Borussia Dortmund,1,0
14645,2,2011/12,VfL Wolfsburg,FC Bayern München,0,1
14646,2,2011/12,Borussia Mönchengladbach,VfB Stuttgart,1,1
14647,2,2011/12,1.FC Kaiserslautern,1.FC Augsburg,1,1
14648,2,2011/12,Bayer 04 Leverkusen,SV Werder Bremen,1,0
14649,3,2011/12,Borussia Mönchengladbach,VfL Wolfsburg,4,1
14650,3,2011/12,Borussia Dortmund,1. FC Nürnberg,2,0
14651,3,2011/12,FC Bayern München,Hamburger SV,5,0
14652,3,2011/12,SV Werder Bremen,SC Freiburg,5,3
14653,3,2011/12,VfB Stuttgart,Bayer 04 Leverkusen,0,1
14654,3,2011/12,1.FC Augsburg,TSG Hoffenheim,0,2
14655,3,2011/12,1. FC Köln,1.FC Kaiserslautern,1,1
14656,3,2011/12,FSV Mainz 05,FC Schalke 04,2,4
14657,3,2011/12,Hannover 96,Hertha BSC,1,1
14658,4,2011/12,Hertha BSC,VfB Stuttgart,1,0
14659,4,2011/12,Hamburger SV,1. FC Köln,3,4
14660,4,2011/12,1. FC Nürnberg,1.FC Augsburg,1,0
14661,4,2011/12,SC Freiburg,VfL Wolfsburg,3,0
14662,4,2011/12,1.FC Kaiserslautern,FC Bayern München,0,3
14663,4,2011/12,TSG Hoffenheim,SV Werder Bremen,1,2
14664,4,2011/12,Bayer 04 Leverkusen,Borussia Dortmund,0,0
14665,4,2011/12,Hannover 96,FSV Mainz 05,1,1
14666,4,2011/12,FC Schalke 04,Borussia Mönchengladbach,1,0
14667,5,2011/12,1.FC Augsburg,Bayer 04 Leverkusen,1,4
14668,5,2011/12,Borussia Dortmund,Hertha BSC,1,2
14669,5,2011/12,FC Bayern München,SC Freiburg,7,0
14670,5,2011/12,FSV Mainz 05,TSG Hoffenheim,0,4
14671,5,2011/12,VfB Stuttgart,Hannover 96,3,0
14672,5,2011/12,Borussia Mönchengladbach,1.FC Kaiserslautern,1,0
14673,5,2011/12,SV Werder Bremen,Hamburger SV,2,0
14674,5,2011/12,1. FC Köln,1. FC Nürnberg,1,2
14675,5,2011/12,VfL Wolfsburg,FC Schalke 04,2,1
14676,6,2011/12,SC Freiburg,VfB Stuttgart,1,2
14677,6,2011/12,Bayer 04 Leverkusen,1. FC Köln,1,4
14678,6,2011/12,Hamburger SV,Borussia Mönchengladbach,0,1
14679,6,2011/12,1. FC Nürnberg,SV Werder Bremen,1,1
14680,6,2011/12,TSG Hoffenheim,VfL Wolfsburg,3,1
14681,6,2011/12,Hertha BSC,1.FC Augsburg,2,2
14682,6,2011/12,1.FC Kaiserslautern,FSV Mainz 05,3,1
14683,6,2011/12,Hannover 96,Borussia Dortmund,2,1
14684,6,2011/12,FC Schalke 04,FC Bayern München,0,2
14685,7,2011/12,VfB Stuttgart,Hamburger SV,1,2
14686,7,2011/12,FC Schalke 04,SC Freiburg,4,2
14687,7,2011/12,FSV Mainz 05,Borussia Dortmund,1,2
14688,7,2011/12,VfL Wolfsburg,1.FC Kaiserslautern,1,0
14689,7,2011/12,Borussia Mönchengladbach,1. FC Nürnberg,1,0
14690,7,2011/12,1.FC Augsburg,Hannover 96,0,0
14691,7,2011/12,FC Bayern München,Bayer 04 Leverkusen,3,0
14692,7,2011/12,1. FC Köln,TSG Hoffenheim,2,0
14693,7,2011/12,SV Werder Bremen,Hertha BSC,2,1
14694,8,2011/12,1.FC Kaiserslautern,VfB Stuttgart,0,2
14695,8,2011/12,Borussia Dortmund,1.FC Augsburg,4,0
14696,8,2011/12,Bayer 04 Leverkusen,VfL Wolfsburg,3,1
14697,8,2011/12,1. FC Nürnberg,FSV Mainz 05,3,3
14698,8,2011/12,SC Freiburg,Borussia Mönchengladbach,1,0
14699,8,2011/12,TSG Hoffenheim,FC Bayern München,0,0
14700,8,2011/12,Hertha BSC,1. FC Köln,3,0
14701,8,2011/12,Hannover 96,SV Werder Bremen,3,2
14702,8,2011/12,Hamburger SV,FC Schalke 04,1,2
14703,9,2011/12,SV Werder Bremen,Borussia Dortmund,0,2
14704,9,2011/12,FC Bayern München,Hertha BSC,4,0
14705,9,2011/12,FSV Mainz 05,1.FC Augsburg,0,1
14706,9,2011/12,VfB Stuttgart,TSG Hoffenheim,2,0
14707,9,2011/12,VfL Wolfsburg,1. FC Nürnberg,2,1
14708,9,2011/12,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,2
14709,9,2011/12,FC Schalke 04,1.FC Kaiserslautern,1,2
14710,9,2011/12,SC Freiburg,Hamburger SV,1,2
14711,9,2011/12,1. FC Köln,Hannover 96,2,0
14712,10,2011/12,1.FC Augsburg,SV Werder Bremen,1,1
14713,10,2011/12,Borussia Dortmund,1. FC Köln,5,0
14714,10,2011/12,1. FC Nürnberg,VfB Stuttgart,2,2
14715,10,2011/12,1.FC Kaiserslautern,SC Freiburg,1,0
14716,10,2011/12,TSG Hoffenheim,Borussia Mönchengladbach,1,0
14717,10,2011/12,Hertha BSC,FSV Mainz 05,0,0
14718,10,2011/12,Hamburger SV,VfL Wolfsburg,1,1
14719,10,2011/12,Bayer 04 Leverkusen,FC Schalke 04,0,1
14720,10,2011/12,Hannover 96,FC Bayern München,2,1
14721,11,2011/12,SC Freiburg,Bayer 04 Leverkusen,0,1
14722,11,2011/12,FC Bayern München,1. FC Nürnberg,4,0
14723,11,2011/12,FC Schalke 04,TSG Hoffenheim,3,1
14724,11,2011/12,VfL Wolfsburg,Hertha BSC,2,3
14725,11,2011/12,Borussia Mönchengladbach,Hannover 96,2,1
14726,11,2011/12,VfB Stuttgart,Borussia Dortmund,1,1
14727,11,2011/12,FSV Mainz 05,SV Werder Bremen,1,3
14728,11,2011/12,1. FC Köln,1.FC Augsburg,3,0
14729,11,2011/12,Hamburger SV,1.FC Kaiserslautern,1,1
14730,12,2011/12,FSV Mainz 05,VfB Stuttgart,3,1
14731,12,2011/12,Borussia Dortmund,VfL Wolfsburg,5,1
14732,12,2011/12,SV Werder Bremen,1. FC Köln,3,2
14733,12,2011/12,1. FC Nürnberg,SC Freiburg,1,2
14734,12,2011/12,TSG Hoffenheim,1.FC Kaiserslautern,1,1
14735,12,2011/12,Hertha BSC,Borussia Mönchengladbach,1,2
14736,12,2011/12,Bayer 04 Leverkusen,Hamburger SV,2,2
14737,12,2011/12,Hannover 96,FC Schalke 04,2,2
14738,12,2011/12,1.FC Augsburg,FC Bayern München,1,2
14739,13,2011/12,1.FC Kaiserslautern,Bayer 04 Leverkusen,0,2
14740,13,2011/12,FC Schalke 04,1. FC Nürnberg,4,0
14741,13,2011/12,SC Freiburg,Hertha BSC,2,2
14742,13,2011/12,VfL Wolfsburg,Hannover 96,4,1
14743,13,2011/12,Borussia Mönchengladbach,SV Werder Bremen,5,0
14744,13,2011/12,FC Bayern München,Borussia Dortmund,0,1
14745,13,2011/12,VfB Stuttgart,1.FC Augsburg,2,1
14746,13,2011/12,Hamburger SV,TSG Hoffenheim,2,0
14747,13,2011/12,1. FC Köln,FSV Mainz 05,1,1
14748,14,2011/12,1. FC Köln,Borussia Mönchengladbach,0,3
14749,14,2011/12,Borussia Dortmund,FC Schalke 04,2,0
14750,14,2011/12,1. FC Nürnberg,1.FC Kaiserslautern,1,0
14751,14,2011/12,TSG Hoffenheim,SC Freiburg,1,1
14752,14,2011/12,1.FC Augsburg,VfL Wolfsburg,2,0
14753,14,2011/12,Hertha BSC,Bayer 04 Leverkusen,3,3
14754,14,2011/12,Hannover 96,Hamburger SV,1,1
14755,14,2011/12,SV Werder Bremen,VfB Stuttgart,2,0
14756,14,2011/12,FSV Mainz 05,FC Bayern München,3,2
14757,15,2011/12,Bayer 04 Leverkusen,TSG Hoffenheim,2,0
14758,15,2011/12,FC Bayern München,SV Werder Bremen,4,1
14759,15,2011/12,SC Freiburg,Hannover 96,1,1
14760,15,2011/12,1.FC Kaiserslautern,Hertha BSC,1,1
14761,15,2011/12,VfL Wolfsburg,FSV Mainz 05,2,2
14762,15,2011/12,Borussia Mönchengladbach,Borussia Dortmund,1,1
14763,15,2011/12,VfB Stuttgart,1. FC Köln,2,2
14764,15,2011/12,Hamburger SV,1. FC Nürnberg,2,0
14765,15,2011/12,FC Schalke 04,1.FC Augsburg,3,1
14766,16,2011/12,Hertha BSC,FC Schalke 04,1,2
14767,16,2011/12,SV Werder Bremen,VfL Wolfsburg,4,1
14768,16,2011/12,FSV Mainz 05,Hamburger SV,0,0
14769,16,2011/12,1. FC Nürnberg,TSG Hoffenheim,0,2
14770,16,2011/12,1. FC Köln,SC Freiburg,4,0
14771,16,2011/12,1.FC Augsburg,Borussia Mönchengladbach,1,0
14772,16,2011/12,Hannover 96,Bayer 04 Leverkusen,0,0
14773,16,2011/12,Borussia Dortmund,1.FC Kaiserslautern,1,1
14774,16,2011/12,VfB Stuttgart,FC Bayern München,1,2
14775,17,2011/12,FC Bayern München,1. FC Köln,3,0
14776,17,2011/12,Bayer 04 Leverkusen,1. FC Nürnberg,0,3
14777,17,2011/12,Hamburger SV,1.FC Augsburg,1,1
14778,17,2011/12,SC Freiburg,Borussia Dortmund,1,4
14779,17,2011/12,TSG Hoffenheim,Hertha BSC,1,1
14780,17,2011/12,VfL Wolfsburg,VfB Stuttgart,1,0
14781,17,2011/12,FC Schalke 04,SV Werder Bremen,5,0
14782,17,2011/12,1.FC Kaiserslautern,Hannover 96,1,1
14783,17,2011/12,Borussia Mönchengladbach,FSV Mainz 05,1,0
14784,18,2011/12,Borussia Mönchengladbach,FC Bayern München,3,1
14785,18,2011/12,TSG Hoffenheim,Hannover 96,0,0
14786,18,2011/12,FC Schalke 04,VfB Stuttgart,3,1
14787,18,2011/12,VfL Wolfsburg,1. FC Köln,1,0
14788,18,2011/12,1. FC Nürnberg,Hertha BSC,2,0
14789,18,2011/12,SC Freiburg,1.FC Augsburg,1,0
14790,18,2011/12,1.FC Kaiserslautern,SV Werder Bremen,0,0
14791,18,2011/12,Hamburger SV,Borussia Dortmund,1,5
14792,18,2011/12,Bayer 04 Leverkusen,FSV Mainz 05,3,2
14793,19,2011/12,Hannover 96,1. FC Nürnberg,1,0
14794,19,2011/12,SV Werder Bremen,Bayer 04 Leverkusen,1,1
14795,19,2011/12,Hertha BSC,Hamburger SV,1,2
14796,19,2011/12,1.FC Augsburg,1.FC Kaiserslautern,2,2
14797,19,2011/12,Borussia Dortmund,TSG Hoffenheim,3,1
14798,19,2011/12,FC Bayern München,VfL Wolfsburg,2,0
14799,19,2011/12,1. FC Köln,FC Schalke 04,1,4
14800,19,2011/12,FSV Mainz 05,SC Freiburg,3,1
14801,19,2011/12,VfB Stuttgart,Borussia Mönchengladbach,0,3
14802,20,2011/12,1. FC Nürnberg,Borussia Dortmund,0,2
14803,20,2011/12,Hertha BSC,Hannover 96,0,1
14804,20,2011/12,FC Schalke 04,FSV Mainz 05,1,1
14805,20,2011/12,Bayer 04 Leverkusen,VfB Stuttgart,2,2
14806,20,2011/12,VfL Wolfsburg,Borussia Mönchengladbach,0,0
14807,20,2011/12,TSG Hoffenheim,1.FC Augsburg,2,2
14808,20,2011/12,Hamburger SV,FC Bayern München,1,1
14809,20,2011/12,SC Freiburg,SV Werder Bremen,2,2
14810,20,2011/12,1.FC Kaiserslautern,1. FC Köln,0,1
14811,21,2011/12,VfL Wolfsburg,SC Freiburg,3,2
14812,21,2011/12,Borussia Dortmund,Bayer 04 Leverkusen,1,0
14813,21,2011/12,FSV Mainz 05,Hannover 96,1,1
14814,21,2011/12,FC Bayern München,1.FC Kaiserslautern,2,0
14815,21,2011/12,SV Werder Bremen,TSG Hoffenheim,1,1
14816,21,2011/12,VfB Stuttgart,Hertha BSC,5,0
14817,21,2011/12,Borussia Mönchengladbach,FC Schalke 04,3,0
14818,21,2011/12,1.FC Augsburg,1. FC Nürnberg,0,0
14819,21,2011/12,1. FC Köln,Hamburger SV,0,1
14820,22,2011/12,TSG Hoffenheim,FSV Mainz 05,1,1
14821,22,2011/12,Hertha BSC,Borussia Dortmund,0,1
14822,22,2011/12,Hamburger SV,SV Werder Bremen,1,3
14823,22,2011/12,1. FC Nürnberg,1. FC Köln,2,1
14824,22,2011/12,1.FC Kaiserslautern,Borussia Mönchengladbach,1,2
14825,22,2011/12,Bayer 04 Leverkusen,1.FC Augsburg,4,1
14826,22,2011/12,SC Freiburg,FC Bayern München,0,0
14827,22,2011/12,FC Schalke 04,VfL Wolfsburg,4,0
14828,22,2011/12,Hannover 96,VfB Stuttgart,4,2
14829,23,2011/12,Borussia Mönchengladbach,Hamburger SV,1,1
14830,23,2011/12,1. FC Köln,Bayer 04 Leverkusen,0,2
14831,23,2011/12,VfB Stuttgart,SC Freiburg,4,1
14832,23,2011/12,FSV Mainz 05,1.FC Kaiserslautern,4,0
14833,23,2011/12,VfL Wolfsburg,TSG Hoffenheim,1,2
14834,23,2011/12,1.FC Augsburg,Hertha BSC,3,0
14835,23,2011/12,SV Werder Bremen,1. FC Nürnberg,0,1
14836,23,2011/12,FC Bayern München,FC Schalke 04,2,0
14837,23,2011/12,Borussia Dortmund,Hannover 96,3,1
14838,24,2011/12,Hannover 96,1.FC Augsburg,2,2
14839,24,2011/12,1.FC Kaiserslautern,VfL Wolfsburg,0,0
14840,24,2011/12,Hamburger SV,VfB Stuttgart,0,4
14841,24,2011/12,SC Freiburg,FC Schalke 04,2,1
14842,24,2011/12,Bayer 04 Leverkusen,FC Bayern München,2,0
14843,24,2011/12,Hertha BSC,SV Werder Bremen,1,0
14844,24,2011/12,Borussia Dortmund,FSV Mainz 05,2,1
14845,24,2011/12,1. FC Nürnberg,Borussia Mönchengladbach,1,0
14846,24,2011/12,TSG Hoffenheim,1. FC Köln,1,1
14847,25,2011/12,VfB Stuttgart,1.FC Kaiserslautern,0,0
14848,25,2011/12,1. FC Köln,Hertha BSC,1,0
14849,25,2011/12,FSV Mainz 05,1. FC Nürnberg,2,1
14850,25,2011/12,VfL Wolfsburg,Bayer 04 Leverkusen,3,2
14851,25,2011/12,Borussia Mönchengladbach,SC Freiburg,0,0
14852,25,2011/12,FC Bayern München,TSG Hoffenheim,7,1
14853,25,2011/12,1.FC Augsburg,Borussia Dortmund,0,0
14854,25,2011/12,SV Werder Bremen,Hannover 96,3,0
14855,25,2011/12,FC Schalke 04,Hamburger SV,3,1
14856,26,2011/12,TSG Hoffenheim,VfB Stuttgart,1,2
14857,26,2011/12,1.FC Augsburg,FSV Mainz 05,2,1
14858,26,2011/12,Borussia Dortmund,SV Werder Bremen,1,0
14859,26,2011/12,Hamburger SV,SC Freiburg,1,3
14860,26,2011/12,1. FC Nürnberg,VfL Wolfsburg,1,3
14861,26,2011/12,Bayer 04 Leverkusen,Borussia Mönchengladbach,1,2
14862,26,2011/12,Hertha BSC,FC Bayern München,0,6
14863,26,2011/12,1.FC Kaiserslautern,FC Schalke 04,1,4
14864,26,2011/12,Hannover 96,1. FC Köln,4,1
14865,27,2011/12,VfL Wolfsburg,Hamburger SV,2,1
14866,27,2011/12,FSV Mainz 05,Hertha BSC,1,3
14867,27,2011/12,SV Werder Bremen,1.FC Augsburg,1,1
14868,27,2011/12,Borussia Mönchengladbach,TSG Hoffenheim,1,2
14869,27,2011/12,SC Freiburg,1.FC Kaiserslautern,2,0
14870,27,2011/12,FC Bayern München,Hannover 96,2,1
14871,27,2011/12,FC Schalke 04,Bayer 04 Leverkusen,2,0
14872,27,2011/12,VfB Stuttgart,1. FC Nürnberg,1,0
14873,27,2011/12,1. FC Köln,Borussia Dortmund,1,6
14874,28,2011/12,Borussia Dortmund,VfB Stuttgart,4,4
14875,28,2011/12,1.FC Augsburg,1. FC Köln,2,1
14876,28,2011/12,Bayer 04 Leverkusen,SC Freiburg,0,2
14877,28,2011/12,SV Werder Bremen,FSV Mainz 05,0,3
14878,28,2011/12,1.FC Kaiserslautern,Hamburger SV,0,1
14879,28,2011/12,1. FC Nürnberg,FC Bayern München,0,1
14880,28,2011/12,Hertha BSC,VfL Wolfsburg,1,4
14881,28,2011/12,Hannover 96,Borussia Mönchengladbach,2,1
14882,28,2011/12,TSG Hoffenheim,FC Schalke 04,1,1
14883,29,2011/12,FC Bayern München,1.FC Augsburg,2,1
14884,29,2011/12,1.FC Kaiserslautern,TSG Hoffenheim,1,2
14885,29,2011/12,SC Freiburg,1. FC Nürnberg,2,2
14886,29,2011/12,VfB Stuttgart,FSV Mainz 05,4,1
14887,29,2011/12,1. FC Köln,SV Werder Bremen,1,1
14888,29,2011/12,VfL Wolfsburg,Borussia Dortmund,1,3
14889,29,2011/12,Borussia Mönchengladbach,Hertha BSC,0,0
14890,29,2011/12,FC Schalke 04,Hannover 96,3,0
14891,29,2011/12,Hamburger SV,Bayer 04 Leverkusen,1,1
14892,30,2011/12,SV Werder Bremen,Borussia Mönchengladbach,2,2
14893,30,2011/12,FSV Mainz 05,1. FC Köln,4,0
14894,30,2011/12,1.FC Augsburg,VfB Stuttgart,1,3
14895,30,2011/12,Hertha BSC,SC Freiburg,1,2
14896,30,2011/12,Hannover 96,VfL Wolfsburg,2,0
14897,30,2011/12,Bayer 04 Leverkusen,1.FC Kaiserslautern,3,1
14898,30,2011/12,TSG Hoffenheim,Hamburger SV,4,0
14899,30,2011/12,1. FC Nürnberg,FC Schalke 04,4,1
14900,30,2011/12,Borussia Dortmund,FC Bayern München,1,0
14901,31,2011/12,VfB Stuttgart,SV Werder Bremen,4,1
14902,31,2011/12,Bayer 04 Leverkusen,Hertha BSC,3,3
14903,31,2011/12,VfL Wolfsburg,1.FC Augsburg,1,2
14904,31,2011/12,1.FC Kaiserslautern,1. FC Nürnberg,0,2
14905,31,2011/12,Hamburger SV,Hannover 96,1,0
14906,31,2011/12,FC Schalke 04,Borussia Dortmund,1,2
14907,31,2011/12,FC Bayern München,FSV Mainz 05,0,0
14908,31,2011/12,Borussia Mönchengladbach,1. FC Köln,3,0
14909,31,2011/12,SC Freiburg,TSG Hoffenheim,0,0
14910,32,2011/12,FSV Mainz 05,VfL Wolfsburg,0,0
14911,32,2011/12,1. FC Köln,VfB Stuttgart,1,1
14912,32,2011/12,Hertha BSC,1.FC Kaiserslautern,1,2
14913,32,2011/12,1. FC Nürnberg,Hamburger SV,1,1
14914,32,2011/12,SV Werder Bremen,FC Bayern München,1,2
14915,32,2011/12,TSG Hoffenheim,Bayer 04 Leverkusen,0,1
14916,32,2011/12,Borussia Dortmund,Borussia Mönchengladbach,2,0
14917,32,2011/12,1.FC Augsburg,FC Schalke 04,1,1
14918,32,2011/12,Hannover 96,SC Freiburg,0,0
14919,33,2011/12,FC Schalke 04,Hertha BSC,4,0
14920,33,2011/12,Borussia Mönchengladbach,1.FC Augsburg,0,0
14921,33,2011/12,SC Freiburg,1. FC Köln,4,1
14922,33,2011/12,FC Bayern München,VfB Stuttgart,2,0
14923,33,2011/12,TSG Hoffenheim,1. FC Nürnberg,2,3
14924,33,2011/12,Hamburger SV,FSV Mainz 05,0,0
14925,33,2011/12,Bayer 04 Leverkusen,Hannover 96,1,0
14926,33,2011/12,VfL Wolfsburg,SV Werder Bremen,3,1
14927,33,2011/12,1.FC Kaiserslautern,Borussia Dortmund,2,5
14928,34,2011/12,FSV Mainz 05,Borussia Mönchengladbach,0,3
14929,34,2011/12,VfB Stuttgart,VfL Wolfsburg,3,2
14930,34,2011/12,Hertha BSC,TSG Hoffenheim,3,1
14931,34,2011/12,Hannover 96,1.FC Kaiserslautern,2,1
14932,34,2011/12,Borussia Dortmund,SC Freiburg,4,0
14933,34,2011/12,1.FC Augsburg,Hamburger SV,1,0
14934,34,2011/12,SV Werder Bremen,FC Schalke 04,2,3
14935,34,2011/12,1. FC Köln,FC Bayern München,1,4
14936,34,2011/12,1. FC Nürnberg,Bayer 04 Leverkusen,1,4
14937,1,2012/13,Borussia Dortmund,SV Werder Bremen,2,1
14938,1,2012/13,Borussia Mönchengladbach,TSG Hoffenheim,2,1
14939,1,2012/13,SC Freiburg,FSV Mainz 05,1,1
14940,1,2012/13,1.FC Augsburg,Fortuna Düsseldorf,0,2
14941,1,2012/13,Hamburger SV,1. FC Nürnberg,0,1
14942,1,2012/13,SpVgg Greuther Fürth,FC Bayern München,0,3
14943,1,2012/13,Eintracht Frankfurt,Bayer 04 Leverkusen,2,1
14944,1,2012/13,VfB Stuttgart,VfL Wolfsburg,0,1
14945,1,2012/13,Hannover 96,FC Schalke 04,2,2
14946,2,2012/13,FSV Mainz 05,SpVgg Greuther Fürth,0,1
14947,2,2012/13,FC Schalke 04,1.FC Augsburg,3,1
14948,2,2012/13,Bayer 04 Leverkusen,SC Freiburg,2,0
14949,2,2012/13,SV Werder Bremen,Hamburger SV,2,0
14950,2,2012/13,1. FC Nürnberg,Borussia Dortmund,1,1
14951,2,2012/13,TSG Hoffenheim,Eintracht Frankfurt,0,4
14952,2,2012/13,Fortuna Düsseldorf,Borussia Mönchengladbach,0,0
14953,2,2012/13,VfL Wolfsburg,Hannover 96,0,4
14954,2,2012/13,FC Bayern München,VfB Stuttgart,6,1
14955,3,2012/13,1.FC Augsburg,VfL Wolfsburg,0,0
14956,3,2012/13,Borussia Dortmund,Bayer 04 Leverkusen,3,0
14957,3,2012/13,FC Bayern München,FSV Mainz 05,3,1
14958,3,2012/13,Borussia Mönchengladbach,1. FC Nürnberg,2,3
14959,3,2012/13,VfB Stuttgart,Fortuna Düsseldorf,0,0
14960,3,2012/13,Hannover 96,SV Werder Bremen,3,2
14961,3,2012/13,SpVgg Greuther Fürth,FC Schalke 04,0,2
14962,3,2012/13,SC Freiburg,TSG Hoffenheim,5,3
14963,3,2012/13,Eintracht Frankfurt,Hamburger SV,3,2
14964,4,2012/13,1. FC Nürnberg,Eintracht Frankfurt,1,2
14965,4,2012/13,FC Schalke 04,FC Bayern München,0,2
14966,4,2012/13,VfL Wolfsburg,SpVgg Greuther Fürth,1,1
